control_id,guardrail_name,risk_category,control_objective,control_type,evidence_required,owner,test_frequency
CTRL-001,Prompt injection filter,prompt injection,Detect and block direct and indirect attempts to override system instructions or access restricted content.,Technical preventive,Prompt injection test report and failed-case remediation log,AI security reviewer,Before release and monthly
CTRL-002,PII masking,privacy leakage,"Mask or suppress personal information in inputs, outputs, logs, and summaries where not required.",Technical preventive,PII leakage test results and masking configuration evidence,Privacy reviewer,Before release and quarterly
CTRL-003,Restricted tool access,unauthorized action,"Restrict GenAI agents to approved systems, approved data scopes, and approved actions.",Technical preventive,Tool access matrix and tool-call audit sample,Technology owner,Before release and monthly
CTRL-004,Source-grounding requirement,hallucination,"Require responses to be grounded in approved sources when the output affects customer, operational, policy, or risk decisions.",Technical detective,Grounding evaluation report and unsupported response sample,AI product owner,Weekly during pilot and monthly in production
CTRL-005,Confidence threshold,hallucination,Route low-confidence or unsupported outputs to human review.,Technical detective,Confidence threshold configuration and escalation logs,Model monitoring owner,Monthly
CTRL-006,Human approval before action,lack of human oversight,"Prevent customer, payment, complaint, collections, or external communications actions from being completed without human approval.",Human-in-the-loop,"Approval logs, override logs, and exception reports",Business owner,Continuous with monthly sampling
CTRL-007,Blocked high-risk advice,unsafe recommendation,"Block legal, credit, investment, collections, hardship, or complaint advice outside the approved scope.",Technical preventive,Blocked prompt log and policy refusal test results,Risk owner,Before release and monthly
CTRL-008,Audit logging,poor explainability,"Maintain traceable records of prompts, outputs, tool calls, approvals, overrides, escalations, and incidents.",Detective,Audit log sample and retention configuration,Technology owner,Quarterly
CTRL-009,Memory restriction,privacy leakage,"Disable or strictly restrict memory for systems processing confidential, personal, customer, complaint, or employment information.",Technical preventive,Memory configuration record and privacy review,Privacy reviewer,Before release and quarterly
CTRL-010,Vendor data boundary,third-party risk,"Confirm vendor data handling, model training restrictions, data retention, subcontractor access, and incident notification obligations.",Third-party control,"Vendor review, data processing terms, and contractual control mapping",Third-party risk reviewer,Before onboarding and annual
CTRL-011,Output QA sampling,overreliance,"Sample GenAI outputs to assess factuality, completeness, tone, policy alignment, and human-review quality.",Detective,QA sampling report and remediation actions,Operational risk reviewer,Monthly
CTRL-012,Incident escalation,operational risk,Escalate confirmed or suspected GenAI control failures through defined incident response paths.,Corrective,"Incident log, containment actions, root-cause analysis, and closure evidence",AI risk management office,Event-driven and quarterly review
