risk_id,use_case_id,risk_category,risk_description,inherent_risk,guardrails_in_place,residual_risk,owner,treatment_plan,status
RISK-001,UC-001,hallucination,Customer support chatbot may provide unsupported product or process guidance.,High,Source-grounding requirement; blocked high-risk advice; audit logging,Medium,Digital banking risk owner,Continue grounded response testing and monthly unsupported response review.,Monitoring
RISK-002,UC-001,privacy leakage,Customer support chatbot may expose personal or account information inappropriately.,Critical,PII masking; restricted CRM lookup; audit logging,Medium,Privacy reviewer,Restrict customer data fields and sample outputs weekly during pilot.,Mitigating
RISK-003,UC-003,unauthorized action,Complaint triage agent may send or route external communications without approval.,Critical,Human approval before action; restricted tool access; audit logging,High,Client care technology owner,Block external send actions until tool-access testing and approval workflow are complete.,Escalated
RISK-004,UC-003,prompt injection,Complaint text may contain instructions that manipulate the agent into bypassing policy.,Critical,Prompt injection filter; human approval before action,High,AI security reviewer,Expand indirect prompt injection test suite and retest all complaint workflows.,Mitigating
RISK-005,UC-004,overreliance,Meeting summary may be treated as official decision record without human verification.,High,Output QA sampling; audit logging; human review notice,Medium,Operations owner,Add decision-versus-discussion labeling and sampling review.,Monitoring
RISK-006,UC-005,security,"Coding assistant may process secrets, credentials, or insecure code patterns.",Critical,PII masking; DLP control; secure coding review,High,Technology risk owner,"Strengthen secret detection, update developer guidance, and retest failed prompt case.",Open
RISK-007,UC-006,poor explainability,Document extraction tool may produce field values without traceable source evidence.,High,Source-grounding requirement; audit logging; output QA sampling,Medium,Operations risk owner,Require field-level source reference and exception queue.,Monitoring
RISK-008,UC-007,unsafe recommendation,Email drafting assistant may create customer commitments beyond employee authority.,High,Blocked high-risk advice; human approval before action,High,Business risk owner,Tighten commitment-detection rules and require approval before external use.,Mitigating
RISK-009,UC-008,bias,Collections assistant may produce inconsistent or unfair treatment suggestions.,Critical,Blocked high-risk advice; human approval before action; conduct review,High,Conduct risk reviewer,Limit assistant to policy retrieval and require human assessment for customer treatment.,Escalated
RISK-010,UC-009,third-party risk,Vendor contract review assistant may rely on vendor-hosted model with insufficient data boundary evidence.,High,Vendor data boundary; audit logging; human legal review,Medium,Third-party risk reviewer,"Confirm data retention, training restrictions, subcontractor access, and incident notification.",Monitoring
RISK-011,UC-010,hallucination,"Fraud summary assistant may add unsupported motive, intent, or conclusion language.",High,Source-grounding requirement; human review; audit logging,High,Fraud operations reviewer,Suppress unsupported inference and retest investigation-summary prompts.,Open
RISK-012,UC-002,poor explainability,Internal policy assistant may provide policy summaries without clear source traceability.,Medium,Source-grounding requirement; audit logging,Low,Compliance policy owner,Require source links and periodic policy index refresh.,Monitoring
